;Classifier;Exp. Group;Ratio Men;Probability Men;Probability Women;Difference Probabilities;Informativeness Difference;Possible Accuracy;Mean Accuracy;SD Accuracy;Diff Acc;Possible Accuracy Men;Mean Accuracy Men;SD Accuracy Men;Diff Acc Men;Possible Accuracy Women;Mean Accuracy Women;SD Accuracy Women;Diff Acc Women;Expected Bias;Mean Bias;SD Bias;Diff Bias
1035;Tree;148;0.95;0.95;0.95;0.00;0.00;0.9300560199133427;0.9480745454545453;0.007449886447510991;-0.018018525541202535;0.9299741626794258;0.9475100478468901;0.007756342160615678;-0.017535885167464293;0.9316122694029036;0.9587999999999999;0.02046846612833092;-0.027187730597096227;-0.0016381067234778612;-0.011289952153110046;0.021812550095103057;-0.009651845429632185
1036;Tree_noSex;1;0.50;0.05;0.05;0.00;0.00;0.9293290909090909;0.9487381818181817;0.006142849914092323;-0.01940909090909082;0.92894;0.9483272727272726;0.00877289779479015;-0.019387272727272586;0.9297181818181818;0.9491490909090907;0.007520436582085041;-0.019430909090908943;-0.000778181818181789;-0.0008218181818181816;0.010775109462912108;-4.363636363639259e-05
1037;Tree_noSex;2;0.50;0.05;0.20;0.15;0.15;0.8890627272727273;0.8955909090909092;0.010848430383931094;-0.006528181818181933;0.9289527272727273;0.9454072727272727;0.010379569650846665;-0.01645454545454539;0.8491727272727273;0.8457745454545454;0.017993929538830188;0.0033981818181818557;0.07977999999999996;0.09963272727272726;0.019806063859089455;0.0198527272727273
1038;Tree_noSex;3;0.50;0.05;0.35;0.30;0.30;0.8712445454545454;0.8644163636363635;0.011385899688089498;0.0068281818181819;0.9288945454545454;0.9435636363636364;0.011421329288180833;-0.014669090909090965;0.8135945454545455;0.7852690909090909;0.020410637541613166;0.028325454545454543;0.11529999999999996;0.15829454545454544;0.02399014231511325;0.04299454545454548
1039;Tree_noSex;4;0.50;0.05;0.50;0.45;0.45;0.8656436363636364;0.8544909090909091;0.012497391680176703;0.011152727272727314;0.9289672727272728;0.943850909090909;0.012084687095482742;-0.01488363636363621;0.80232;0.7651309090909091;0.02392233085553849;0.03718909090909095;0.12664727272727272;0.17872;0.028493788029746996;0.05207272727272727
1040;Tree_noSex;5;0.50;0.20;0.05;-0.15;-0.15;0.8893854545454546;0.8965363636363637;0.009700503501032244;-0.007150909090909097;0.8490709090909091;0.8467345454545455;0.016786630752334865;0.002336363636363581;0.9297;0.9463381818181817;0.009358776617952383;-0.016638181818181774;-0.08062909090909087;-0.09960363636363635;0.019035657879510736;-0.01897454545454548
1041;Tree_noSex;6;0.50;0.20;0.20;0.00;0.00;0.8490954545454545;0.8441218181818182;0.014308011575023228;0.004973636363636347;0.8490145454545455;0.8431127272727272;0.019279887068438716;0.00590181818181823;0.8491763636363636;0.845130909090909;0.015800934614483224;0.004045454545454574;-0.00016181818181815188;-0.0020181818181818183;0.020588598281618267;-0.0018563636363636664
1042;Tree_noSex;7;0.50;0.20;0.35;0.15;0.15;0.8313118181818182;0.8128927272727273;0.013133105245383568;0.018419090909090885;0.8490363636363636;0.8409418181818181;0.017533737356489967;0.008094545454545465;0.8135872727272727;0.7848436363636363;0.019197779581272792;0.028743636363636416;0.035449090909090875;0.05609818181818182;0.025730518057935085;0.020649090909090943
1043;Tree_noSex;8;0.50;0.20;0.50;0.30;0.30;0.8256663636363636;0.8038127272727272;0.015621298740293594;0.021853636363636353;0.849;0.8429163636363636;0.01564835301699176;0.006083636363636402;0.8023327272727273;0.7647090909090909;0.02475083316459161;0.037623636363636415;0.04666727272727267;0.07820727272727272;0.02718178602736929;0.031540000000000054
1044;Tree_noSex;9;0.50;0.20;0.65;0.45;0.15;0.8319563636363636;0.8133127272727273;0.013868377555044862;0.018643636363636307;0.8490654545454546;0.8432836363636365;0.017780371933596776;0.00578181818181811;0.8148472727272728;0.7833418181818181;0.020776095719279054;0.031505454545454614;0.034218181818181814;0.059941818181818186;0.026948988382317247;0.025723636363636372
1045;Tree_noSex;10;0.50;0.35;0.05;-0.30;-0.30;0.8728518181818182;0.8656545454545453;0.012456142634034986;0.007197272727272885;0.8160454545454545;0.7873090909090908;0.022865148930237056;0.02873636363636367;0.9296581818181818;0.9440000000000001;0.009926505887052227;-0.014341818181818233;-0.11361272727272731;-0.1566909090909091;0.024941514632786696;-0.04307818181818179
1046;Tree_noSex;11;0.50;0.35;0.20;-0.15;-0.15;0.8326190909090909;0.8155309090909092;0.015977612670238665;0.017088181818181725;0.8160927272727273;0.7868472727272727;0.024338878435075775;0.029245454545454574;0.8491454545454545;0.8442145454545454;0.018568569505280404;0.004930909090909097;-0.033052727272727234;-0.057367272727272725;0.02920974370546519;-0.02431454545454549
1047;Tree_noSex;12;0.50;0.35;0.35;0.00;0.00;0.8147736363636363;0.7872927272727274;0.015162620063605234;0.027480909090908945;0.81606;0.7872945454545455;0.02281813277436378;0.02876545454545454;0.8134872727272727;0.787290909090909;0.01780727909051199;0.026196363636363684;0.002572727272727282;3.6363636363634375e-06;0.027493863952867455;-0.0025690909090909184
1048;Tree_noSex;13;0.50;0.35;0.50;0.15;0.15;0.8092263636363637;0.7769672727272727;0.017205466307911026;0.03225909090909096;0.8161018181818182;0.7880218181818183;0.021991211118339963;0.028079999999999883;0.8023509090909091;0.7659127272727273;0.02231859928739593;0.036438181818181814;0.013750909090909036;0.022109090909090908;0.027916915977859256;0.008358181818181872
1049;Tree_noSex;14;0.50;0.35;0.65;0.30;0.00;0.8154445454545455;0.7842272727272728;0.016128389191225105;0.031217272727272705;0.8160854545454546;0.7880872727272726;0.02059036730365971;0.027998181818181922;0.8148036363636364;0.7803672727272727;0.022844441512786678;0.03443636363636371;0.0012818181818181618;0.007719999999999999;0.02917471021016309;0.006438181818181838
1050;Tree_noSex;15;0.50;0.35;0.80;0.45;-0.15;0.8335963636363637;0.812;0.014944950594417505;0.021596363636363636;0.81614;0.7850690909090909;0.0215621005354283;0.031070909090909038;0.8510527272727273;0.8389309090909091;0.019896424633525228;0.012121818181818234;-0.03491272727272732;-0.05386181818181818;0.028778074854246397;-0.01894909090909086
